,gameName,gameSize,COLDPOWER2021,CrocodileAgent2020,IS3,Mertacor2021,TUC_TAC,UTA_PTA2021,VidyutVanika
359,finals_2021_360,3,,926539.4282712948,300420.9238440018,3304912.479993119,,,
360,finals_2021_361,3,-1369.5819720044194,847924.9063421407,,1003514.9399312956,,,
361,finals_2021_362,3,,,-92571.7147136606,,2352187.9335824875,3363109.775404478,
362,finals_2021_363,3,-88447.25708859993,,,,2917822.659505961,854181.251452584,
363,finals_2021_364,3,-347315.3610964141,,-45503.67339103206,,,2199076.886499868,
364,finals_2021_365,3,,6265873.347917826,,,8789394.775563937,0.0,
365,finals_2021_366,3,,22704304.91134026,2141791.836256828,,,0.0,
366,finals_2021_367,3,-63806.84402429612,1412256.9553235054,,,,2479839.6511791083,
367,finals_2021_368,3,,,,1002809.4376710992,1465172.0014016377,-1125154.351700483,
368,finals_2021_369,3,,,-148730.9349288839,2269859.898723724,,871544.1246665865,
369,finals_2021_370,3,138831.23495812775,,,282765.1279822299,,-218679.6928457894,
370,finals_2021_371,3,,563918.7081289138,,1829147.5689670765,,0.0,
371,finals_2021_372,3,,,63631.753806355126,,2788549.0256542866,,5416292.714652246
372,finals_2021_373,3,199701.45960031523,,,,933608.961935487,,897957.4643166492
373,finals_2021_374,3,1194654.3857397784,,120476.3048132852,,,,10701375.86295215
374,finals_2021_375,3,,-606185.3728269882,,,-2383850.985583026,,889167.7867927888
375,finals_2021_376,3,,3339755.63451899,-16962.28530459128,,,,8922062.674946059
376,finals_2021_377,3,478497.91463281,493597.345013334,,,,,5152600.513726704
377,finals_2021_378,3,,,,352154.34468303225,514669.70677820966,,677609.0534699473
378,finals_2021_379,3,,,603540.4176479058,706991.136070332,,,6609207.328178827
379,finals_2021_380,3,32513.951674111835,,,1538094.418218069,,,2113404.975724041
380,finals_2021_381,3,,-640429.5993546661,,-4027035.636915583,,,1099378.364965069
381,finals_2021_382,3,,,,,1082759.7123244945,-440298.85917908896,349788.2660674124
382,finals_2021_383,3,,,-164209.7779014212,,,0.0,16247441.859812744
383,finals_2021_384,3,1845954.89781915,,,,,0.0,12396662.167090002
384,finals_2021_385,3,,-591527.9381787952,,,,1231874.9222370577,1782020.1335492907
385,finals_2021_386,3,,,,342545.9796358222,,-142370.95712361202,873947.9017039512
